Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales
347,CA-2018-134306,2018-08-07,2018-12-07,Standard Class,TD-20995,Tamara Dahlen,Consumer,United States,Lowell,Massachusetts,1852,East,OFF-AR-10004027,Office Supplies,Art,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",7.56
350,CA-2017-129714,2017-01-09,2017-03-09,First Class,AB-10060,Adam Bellavance,Home Office,United States,New York City,New York,10009,East,TEC-AC-10000290,Technology,Accessories,Sabrent 4-Port USB 2.0 Hub,6.79
360,CA-2018-155698,2018-08-03,2018-11-03,First Class,VB-21745,Victoria Brennan,Corporate,United States,Columbus,Georgia,31907,South,OFF-AP-10001124,Office Supplies,Appliances,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,647.84
387,CA-2016-122756,2016-03-12,2016-07-12,Standard Class,DK-13225,Dean Katz,Corporate,United States,Philadelphia,Pennsylvania,19140,East,TEC-MA-10001681,Technology,Machines,Lexmark MarkNet N8150 Wireless Print Server,482.34
394,US-2015-134971,2015-07-06,2015-10-06,Second Class,BP-11095,Bart Pistole,Corporate,United States,Peoria,Illinois,-3932,Central,OFF-BI-10003982,Office Supplies,Binders,Wilson Jones Century Plastic Molded Ring Binders,12.462
399,CA-2017-108987,2017-08-09,2017-10-09,Second Class,AG-10675,Anna Gayman,Consumer,United States,Houston,Texas,11500,Central,OFF-ST-10001580,Office Supplies,Storage,Super Decoflex Portable Personal File,35.952
406,CA-2018-117457,2018-08-12,2018-12-12,Standard Class,KH-16510,Keith Herrera,Consumer,United States,San Francisco,California,28574,West,TEC-AC-10000158,Technology,Accessories,Sony 64GB Class 10 Micro SDHC R40 Memory Card,179.95
415,CA-2018-142636,2018-03-11,2018-07-11,Standard Class,KC-16675,Kimberly Carter,Corporate,United States,Seattle,Washington,32569,West,OFF-PA-10000157,Office Supplies,Paper,Xerox 191,139.86
419,CA-2018-154816,2018-06-11,2018-10-11,Standard Class,VB-21745,Victoria Brennan,Corporate,United States,Richmond,Kentucky,-25061,South,OFF-PA-10003845,Office Supplies,Paper,Xerox 1987,5.78
420,CA-2018-110478,2018-04-03,2018-09-03,Standard Class,SP-20860,Sung Pak,Corporate,United States,Los Angeles,California,24509,West,OFF-AR-10001573,Office Supplies,Art,American Pencil,9.32
429,CA-2018-152275,2018-01-10,2018-08-10,Standard Class,KH-16630,Ken Heidel,Corporate,United States,San Antonio,Texas,12671,Central,OFF-AR-10000369,Office Supplies,Art,Design Ebony Sketching Pencil,6.672
434,CA-2017-127369,2017-06-06,2017-07-06,First Class,DB-13060,Dave Brooks,Consumer,United States,Lowell,Massachusetts,1852,East,OFF-ST-10003306,Office Supplies,Storage,Letter Size Cart,714.3
441,CA-2017-115756,2017-05-09,2017-07-09,Second Class,PK-19075,Pete Kriz,Consumer,United States,Detroit,Michigan,-17309,Central,FUR-FU-10000246,Furniture,Furnishings,Aluminum Document Frame,12.22
448,CA-2017-166674,2017-01-04,2017-03-04,Second Class,RB-19360,Raymond Buch,Consumer,United States,Auburn,New York,13021,East,OFF-AR-10000588,Office Supplies,Art,Newell 345,59.52
472,CA-2015-144666,2015-09-11,2015-11-11,Second Class,JP-15520,Jeremy Pistek,Consumer,United States,San Francisco,California,28574,West,OFF-ST-10002743,Office Supplies,Storage,SAFCO Boltless Steel Shelving,340.92
482,CA-2015-134677,2015-06-10,2015-10-10,Standard Class,XP-21865,Xylona Preis,Consumer,United States,San Diego,California,26488,West,TEC-AC-10001445,Technology,Accessories,Imation USB 2.0 Swivel Flash Drive USB flash drive - 4 GB - Pink,9.09
529,US-2016-138303,2016-03-09,2016-07-09,Standard Class,MG-18145,Mike Gockenbach,Consumer,United States,Philadelphia,Pennsylvania,19134,East,OFF-ST-10004963,Office Supplies,Storage,Eldon Gobal File Keepers,36.336
532,CA-2016-102848,2016-07-11,2016-09-11,Second Class,KB-16240,Karen Bern,Corporate,United States,Los Angeles,California,24500,West,FUR-CH-10000595,Furniture,Chairs,Safco Contoured Stacking Chairs,190.72
533,US-2018-129441,2018-07-09,2018-11-09,Standard Class,JC-15340,Jasper Cacioppo,Consumer,United States,Los Angeles,California,24496,West,FUR-FU-10000448,Furniture,Furnishings,Tenex Chairmats For Use With Carpeted Floors,47.94
537,US-2018-122637,2018-03-09,2018-08-09,Second Class,EP-13915,Emily Phan,Consumer,United States,Chicago,Illinois,-4883,Central,OFF-BI-10002429,Office Supplies,Binders,"Premier Elliptical Ring Binder, Black",42.616
538,CA-2016-147851,2016-03-12,2016-08-12,Standard Class,MP-17470,Mark Packer,Home Office,United States,New York City,New York,10009,East,OFF-BI-10004528,Office Supplies,Binders,Cardinal Poly Pocket Divider Pockets for Ring Binders,10.752
539,CA-2016-134894,2016-07-12,2016-11-12,Standard Class,DK-12985,Darren Koutras,Consumer,United States,Henderson,Kentucky,-23116,South,OFF-AP-10001271,Office Supplies,Appliances,Eureka The Boss Cordless Rechargeable Stick Vac,152.94
541,CA-2015-140795,2015-01-02,2015-03-02,First Class,BD-11500,Bradley Drucker,Consumer,United States,Green Bay,Wisconsin,-11234,Central,TEC-AC-10001432,Technology,Accessories,Enermax Aurora Lite Keyboard,468.9
553,CA-2018-112774,2018-11-09,2018-12-09,First Class,RC-19960,Ryan Crowe,Consumer,United States,Jacksonville,Florida,32216,South,FUR-FU-10003039,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Grantwood Wall Clock",34.504
556,CA-2015-155852,2015-03-03,2015-07-03,Second Class,AJ-10945,Ashley Jarboe,Consumer,United States,Wilmington,North Carolina,28403,South,OFF-AR-10003560,Office Supplies,Art,Zebra Zazzle Fluorescent Highlighters,19.456
564,CA-2016-130736,2016-07-12,2016-09-12,First Class,JF-15490,Jeremy Farry,Consumer,United States,Seattle,Washington,32569,West,OFF-FA-10003467,Office Supplies,Fasteners,"Alliance Big Bands Rubber Bands, 12/Pack",3.96
566,CA-2018-137099,2018-07-12,2018-10-12,First Class,FP-14320,Frank Preis,Consumer,United States,Los Angeles,California,24472,West,TEC-PH-10002496,Technology,Phones,Cisco SPA301,374.376
567,CA-2018-156951,2018-01-10,2018-08-10,Standard Class,EB-13840,Ellis Ballard,Corporate,United States,Seattle,Washington,32569,West,OFF-PA-10004530,Office Supplies,Paper,Personal Creations Ink Jet Cards and Labels,91.84
575,CA-2017-127250,2017-03-11,2017-07-11,Standard Class,SF-20200,Sarah Foster,Consumer,United States,Marysville,Washington,32734,West,OFF-AR-10003394,Office Supplies,Art,Newell 332,8.82
582,CA-2018-145233,2018-01-12,2018-05-12,Standard Class,DV-13465,Dianna Vittorini,Consumer,United States,Denver,Colorado,14683,West,TEC-PH-10004977,Technology,Phones,GE 30524EE4,470.376
587,CA-2016-128139,2016-03-07,2016-09-07,Standard Class,BD-11725,Bruce Degenhardt,Consumer,United States,Richmond,Kentucky,-25061,South,FUR-CH-10003956,Furniture,Chairs,Novimex High-Tech Fabric Mesh Task Chair,70.98
636,CA-2016-168004,2016-04-10,2016-09-10,Second Class,DJ-13420,Denny Joy,Corporate,United States,Warner Robins,Georgia,31088,South,FUR-CH-10001482,Furniture,Chairs,Office Star - Mesh Screen back chair with Vinyl seat,392.94
647,CA-2017-103947,2017-01-04,2017-08-04,Standard Class,BB-10990,Barry Blumstein,Corporate,United States,Sierra Vista,Arizona,20099,West,OFF-FA-10003112,Office Supplies,Fasteners,Staples,31.56
665,CA-2017-143308,2017-04-11,2017-04-11,Same Day,RC-19825,Roy Collins,Consumer,United States,Louisville,Kentucky,-25322,South,OFF-FA-10000621,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",10.74
666,CA-2018-132682,2018-08-06,2018-10-06,Second Class,TH-21235,Tiffany House,Corporate,United States,Dallas,Texas,9545,Central,OFF-SU-10004231,Office Supplies,Supplies,Acme Tagit Stainless Steel Antibacterial Scissors,23.76
674,CA-2018-130351,2018-05-12,2018-08-12,First Class,RB-19570,Rob Beeghly,Consumer,United States,Columbus,Indiana,-18335,Central,OFF-AP-10004532,Office Supplies,Appliances,Kensington 6 Outlet Guardian Standard Surge Protector,61.44
684,US-2018-168116,2018-04-11,2018-04-11,Same Day,GT-14635,Grant Thornton,Corporate,United States,Burlington,North Carolina,27217,South,TEC-MA-10004125,Technology,Machines,Cubify CubeX 3D Printer Triple Head Print,7999.98
686,CA-2015-157784,2015-05-07,2015-08-07,First Class,MC-17845,Michael Chen,Consumer,United States,Jackson,Mississippi,-26324,South,TEC-AC-10003911,Technology,Accessories,NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router,479.97
702,CA-2018-114552,2018-02-09,2018-08-09,Standard Class,Dl-13600,Dorris liebe,Corporate,United States,Cleveland,Ohio,-21431,East,FUR-FU-10002960,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy",15.072
703,CA-2017-163755,2017-04-11,2017-08-11,Second Class,AS-10285,Alejandro Savely,Corporate,United States,Seattle,Washington,32567,West,FUR-FU-10003394,Furniture,Furnishings,"Tenex ""The Solids"" Textured Chair Mats",209.88
708,CA-2015-112158,2015-02-12,2015-04-12,First Class,DP-13165,David Philippe,Consumer,United States,New York City,New York,10035,East,TEC-AC-10003628,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,119.96
711,CA-2015-113887,2015-05-04,2015-07-04,First Class,TH-21550,Tracy Hopkins,Home Office,United States,New York City,New York,10035,East,OFF-PA-10004071,Office Supplies,Paper,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",55.48
712,CA-2018-146136,2018-03-09,2018-07-09,Standard Class,AP-10915,Arthur Prichep,Consumer,United States,Palm Coast,Florida,32137,South,OFF-EN-10001219,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",24.448
716,CA-2015-153150,2015-01-07,2015-06-07,Second Class,Dl-13600,Dorris liebe,Corporate,United States,Seattle,Washington,32569,West,OFF-BI-10003355,Office Supplies,Binders,Cardinal Holdit Business Card Pockets,19.92
719,CA-2015-104472,2015-02-06,2015-07-06,Standard Class,CK-12325,Christine Kargatis,Home Office,United States,Orem,Utah,18521,West,OFF-BI-10001658,Office Supplies,Binders,GBC Standard Therm-A-Bind Covers,59.808
725,CA-2017-114713,2017-07-07,2017-12-07,Standard Class,SC-20695,Steve Chapman,Corporate,United States,Hialeah,Florida,-32524,South,OFF-SU-10004664,Office Supplies,Supplies,Acme Softgrip Scissors,45.584
728,US-2017-150861,2017-03-12,2017-06-12,First Class,EG-13900,Emily Grady,Consumer,United States,Oceanside,New York,11572,East,OFF-PA-10001954,Office Supplies,Paper,Xerox 1964,182.72
739,CA-2015-132500,2015-08-09,2015-12-09,Standard Class,GZ-14470,Gary Zandusky,Consumer,United States,San Francisco,California,28574,West,TEC-AC-10001383,Technology,Accessories,Logitech Wireless Touch Keyboard K400,49.98
740,CA-2015-112326,2015-04-01,2015-08-01,Standard Class,PO-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,-4996,Central,OFF-LA-10003223,Office Supplies,Labels,Avery 508,11.784
750,CA-2018-126074,2018-02-10,2018-06-10,Standard Class,RF-19735,Roland Fjeld,Consumer,United States,Trenton,Michigan,-17353,Central,OFF-BI-10003638,Office Supplies,Binders,GBC Durable Plastic Covers,58.05
754,CA-2017-110499,2017-07-04,2017-09-04,First Class,YC-21895,Yoseph Carroll,Corporate,United States,San Francisco,California,28574,West,TEC-CO-10002095,Technology,Copiers,Hewlett Packard 610 Color Digital Copier / Printer,1199.976
755,CA-2016-135272,2016-07-12,2016-12-12,Standard Class,MS-17830,Melanie Seite,Consumer,United States,Los Angeles,California,24500,West,FUR-FU-10002759,Furniture,Furnishings,12-1/2 Diameter Round Wall Clock,79.92
762,CA-2018-126046,2018-03-11,2018-07-11,Standard Class,JC-16105,Julie Creighton,Corporate,United States,Atlanta,Georgia,30318,South,OFF-LA-10004484,Office Supplies,Labels,Avery 476,12.39
782,US-2016-157014,2016-03-10,2016-06-10,Second Class,BM-11785,Bryan Mills,Consumer,United States,Columbus,Ohio,-22307,East,OFF-BI-10001098,Office Supplies,Binders,Acco D-Ring Binder w/DublLock,32.07
806,CA-2015-134313,2015-01-11,2015-07-11,Standard Class,RA-19915,Russell Applegate,Consumer,United States,Denver,Colorado,14683,West,OFF-AR-10001897,Office Supplies,Art,Model L Table or Wall-Mount Pencil Sharpener,43.176
808,CA-2016-140921,2016-03-02,2016-05-02,First Class,AA-10375,Allen Armold,Consumer,United States,Omaha,Nebraska,2568,Central,FUR-FU-10003347,Furniture,Furnishings,Coloredge Poster Frame,28.4
838,US-2018-156083,2018-04-11,2018-11-11,Standard Class,JL-15175,James Lanier,Home Office,United States,Columbia,Tennessee,-27135,South,OFF-PA-10001560,Office Supplies,Paper,"Adams Telephone Message Books, 5 1/4” x 11”",9.664
839,US-2017-137547,2017-07-03,2017-12-03,Standard Class,EB-13705,Ed Braxton,Corporate,United States,Fort Worth,Texas,10570,Central,TEC-PH-10002365,Technology,Phones,Belkin Grip Candy Sheer Case / Cover for iPhone 5 and 5S,21.072
843,CA-2017-161669,2017-07-11,2017-09-11,First Class,EM-14095,Eudokia Martin,Corporate,United States,Los Angeles,California,24500,West,OFF-BI-10001294,Office Supplies,Binders,Fellowes Binding Cases,37.44
849,CA-2018-107503,2018-01-01,2018-06-01,Standard Class,GA-14725,Guy Armstrong,Consumer,United States,Lorain,Ohio,-21484,East,FUR-FU-10003878,Furniture,Furnishings,"Linden 10"" Round Wall Clock, Black",48.896
850,CA-2015-107755,2015-07-02,2015-12-02,Standard Class,CK-12760,Cyma Kinney,Corporate,United States,Linden,New Jersey,7036,East,TEC-AC-10000710,Technology,Accessories,Maxell DVD-RAM Discs,115.36
856,CA-2015-125612,2015-03-08,2015-08-08,Standard Class,BK-11260,Berenike Kampe,Consumer,United States,New York City,New York,10035,East,OFF-PA-10001019,Office Supplies,Paper,Xerox 1884,39.96
863,CA-2017-134474,2017-05-01,2017-07-01,Second Class,AJ-10795,Anthony Johnson,Corporate,United States,Jacksonville,Florida,32216,South,TEC-AC-10001714,Technology,Accessories,Logitech MX Performance Wireless Mouse,191.472
869,CA-2015-136742,2015-06-04,2015-10-04,Standard Class,GP-14740,Guy Phonely,Corporate,United States,Lancaster,Pennsylvania,17602,East,OFF-BI-10003719,Office Supplies,Binders,Large Capacity Hanging Post Binders,44.91
870,CA-2017-158099,2017-03-09,2017-05-09,First Class,PK-18910,Paul Knutson,Home Office,United States,Philadelphia,Pennsylvania,19143,East,OFF-BI-10000545,Office Supplies,Binders,GBC Ibimaster 500 Manual ProClick Binding System,1141.47
895,CA-2017-105494,2017-10-11,2017-12-11,First Class,PC-18745,Pamela Coakley,Corporate,United States,San Francisco,California,28586,West,OFF-ST-10002205,Office Supplies,Storage,File Shuttle I and Handi-File,155.82
897,CA-2017-140634,2017-03-10,2017-06-10,Second Class,HL-15040,Hunter Lopez,Consumer,United States,Houston,Texas,11559,Central,OFF-EN-10001099,Office Supplies,Envelopes,Staple envelope,15.648
900,US-2017-114622,2017-10-04,2017-12-04,First Class,JR-16210,Justin Ritter,Corporate,United States,Springfield,Ohio,-20033,East,OFF-BI-10004716,Office Supplies,Binders,Wilson Jones Hanging Recycled Pressboard Data Binders,8.904
904,CA-2017-130477,2017-08-04,2017-12-04,Standard Class,LC-17140,Logan Currie,Consumer,United States,Los Angeles,California,24496,West,OFF-PA-10002947,Office Supplies,Paper,Xerox 1923,20.04
910,CA-2018-137596,2018-02-09,2018-07-09,Standard Class,BE-11335,Bill Eplett,Home Office,United States,Jackson,Michigan,-16335,Central,TEC-PH-10001494,Technology,Phones,Polycom CX600 IP Phone VoIP phone,1199.8
919,CA-2017-165218,2017-05-03,2017-11-03,Standard Class,RW-19630,Rob Williams,Corporate,United States,Dallas,Texas,9684,Central,OFF-EN-10000056,Office Supplies,Envelopes,Cameo Buff Policy Envelopes,149.352
921,CA-2015-138296,2015-05-12,2015-12-12,Standard Class,RC-19825,Roy Collins,Consumer,United States,Alexandria,Virginia,22304,South,OFF-ST-10002444,Office Supplies,Storage,Recycled Eldon Regeneration Jumbo File,24.56
928,CA-2016-115091,2016-05-10,2016-09-10,Standard Class,JJ-15760,Joel Jenkins,Home Office,United States,Springfield,Virginia,22153,South,OFF-AR-10000658,Office Supplies,Art,Newell 324,46.2
933,CA-2018-114216,2018-02-09,2018-06-09,Standard Class,RK-19300,Ralph Kennedy,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-PA-10002195,Office Supplies,Paper,"RSVP Cards & Envelopes, Blank White, 8-1/2"" X 11"", 24 Cards/25 Envelopes/Set",12.192
938,US-2018-111745,2018-05-11,2018-06-11,First Class,RA-19885,Ruben Ausman,Corporate,United States,Farmington,New Mexico,21865,West,TEC-AC-10003911,Technology,Accessories,NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router,159.99
953,CA-2018-131156,2018-03-04,2018-07-04,Standard Class,KH-16360,Katherine Hughes,Consumer,United States,Philadelphia,Pennsylvania,19143,East,FUR-FU-10001940,Furniture,Furnishings,Staple-based wall hangings,25.472
963,CA-2017-120859,2017-01-09,2017-04-09,First Class,CV-12805,Cynthia Voltz,Corporate,United States,San Francisco,California,28574,West,OFF-EN-10001335,Office Supplies,Envelopes,"White Business Envelopes with Contemporary Seam, Recycled White Business Envelopes",21.88
965,CA-2018-135279,2018-09-04,2018-11-04,First Class,BS-11800,Bryan Spruell,Home Office,United States,New York City,New York,10011,East,OFF-LA-10004055,Office Supplies,Labels,Color-Coded Legal Exhibit Labels,9.82
975,US-2018-103247,2018-05-10,2018-08-10,Second Class,PO-19195,Phillina Ober,Home Office,United States,New York City,New York,10011,East,TEC-PH-10003555,Technology,Phones,Motorola HK250 Universal Bluetooth Headset,160.93
